Species	12SRRN	16SRRN	28SRRN	ATP6	ATP8	BDNF	COX1	COX2	COX3	CXCR4	CYTB	NAD1	NAD2	NAD3	NAD4	NAD4L	NAD5	NAD6	NCX1	POMC	RAG1	RAG2	RHOD	SIA	SLC8A3	TYR
Adenomera_saci	-	-	-	-	-	-	KF674695.1	-	-	-	KF674999.1	-	-	-	-	-	-	-	-	KF674063.1	KF674378.1	-	KF675121.1	-	-	KF675145.1
Adenomera_simonstuarti	-	-	-	-	-	-	KF674585.1	-	-	-	KF674894.1	-	-	-	-	-	-	-	-	KF673953.1	KF674266.1	-	KF675119.1	-	-	KF675143.1
Adenomera_thomei	KC603945.1	KC603946.1	-	-	-	-	KC603999.1	-	-	-	KF675106.1	-	-	-	-	-	-	-	-	KC604067.1	KF674488.1	-	KC604101.1	-	-	KC604091.1
Adenomus_kandianus	-	KM921800.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Adenomus_kelaartii	-	EF107161.1	-	-	-	-	-	-	-	EF107447.1	-	-	-	-	-	-	-	-	EF107221.1	-	EF107284.1	-	-	-	EF107348.1	-
Afrixalus_brachycnemis	-	KX492594.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KX492746.1	KX492796.1	-	-	-	-	KX492839.1
Afrixalus_delicatus	AF215215.1	AF215428.1	-	-	-	-	-	-	-	-	AF215489.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Afrixalus_dorsalis	-	KU166823.1	-	-	-	-	-	-	-	EF107456.1	-	-	-	-	-	-	-	-	EF107231.1	KX492747.1	KX492797.1	-	DQ347355.1	-	EF107372.1	KX492840.1
Afrixalus_fornasini	U22071.1	U22071.1	DQ283713.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	DQ284013.1	DQ282859.1	-	DQ283003.1
Afrixalus_knysnae	AF215216.1	AF215429.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Afrixalus_lacteus	-	KX492596.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KX492748.1	KX492798.1	-	-	-	-	KX492841.1
Afrixalus_laevis	AF215217.1	KX492597.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KX492749.1	KX492799.1	-	-	-	-	KX492842.1
Afrixalus_nigeriensis	-	KU166824.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Afrixalus_paradorsalis	-	KM509083.1	-	-	-	KM509214.1	KM509749.1	-	-	-	-	-	-	-	-	-	-	-	-	KX492750.1	KX492800.1	-	-	-	-	KX492843.1
Afrixalus_pygmaeus	DQ283233.1	DQ283234.1	DQ283602.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	DQ283908.1	DQ282765.1	-	DQ282955.1
