Species	12SRRN	16SRRN	28SRRN	ATP6	ATP8	BDNF	COX1	COX2	COX3	CXCR4	CYTB	NAD1	NAD2	NAD3	NAD4	NAD4L	NAD5	NAD6	NCX1	POMC	RAG1	RAG2	RHOD	SIA	SLC8A3	TYR
Cacosternum_platys	-	KF144509.1	-	-	-	-	-	-	-	-	-	-	DQ251463.1	-	-	-	-	-	-	-	-	-	DQ283927.1	DQ282779.1	-	DQ282960.1
Cacosternum_plimptoni	-	EU978472.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cacosternum_rhythmum	-	KF144521.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KF144545.1
Cacosternum_striatum	-	KF144524.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KF144561.1
Cacosternum_thorini	-	KJ461737.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Calluella_capsa	-	KJ488545.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Calluella_guttulata	KC822483.1	KC822483.1	DQ283536.1	-	-	AB611864.1	EF396041.1	-	-	EF017975.1	-	-	-	-	-	-	-	-	EF018031.1	-	AB611861.1	AB611862.1	DQ283845.1	DQ282700.1	EF107363.1	AB611863.1
Calluella_minuta	AB598316.1	AB598340.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Calluella_yunnanensis	AB634626.1	KM509102.1	KC179840.1	-	-	KM509234.1	KM509769.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KM509902.1
Callulina_dawida	FJ998382.1	FJ998386.1	-	-	-	-	-	-	-	-	FJ998387.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Callulina_kanga	FN810996.1	FN811041.1	-	-	-	-	-	-	-	-	FN811086.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Callulina_kisiwamsitu	-	-	DQ283737.1	-	-	KC180213.1	-	-	-	-	FJ998380.1	-	-	-	-	-	-	-	-	-	KF990043.1	-	-	DQ282884.1	-	DQ283021.1
Callulina_kreffti	KC822477.1	JX564855.1	-	JX564855.1	JX564855.1	KM509235.1	JX564855.1	JX564855.1	JX564855.1	EF017966.1	JX564855.1	JX564855.1	JX564855.1	JX564855.1	JX564855.1	JX564855.1	JX564855.1	JX564855.1	EF018003.1	-	EF396077.1	EF396116.1	DQ347400.1	-	EF107395.1	EF395965.1
Callulina_laphami	FN563046.1	FN563044.1	-	-	-	-	-	-	-	KF954751.1	FN563048.1	-	-	-	-	-	-	-	-	-	KF990044.1	-	-	-	-	-
Callulina_shengena	FN563052.1	FN563069.1	-	-	-	-	-	-	-	-	FN563054.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Callulina_stanleyi	FN563057.1	FN563071.1	-	-	-	-	-	-	-	-	FN563059.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Callulops_doriae	JX119382.1	JX119524.1	-	-	-	-	-	-	-	-	JX120089.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	JX119944.1
Callulops_omnistriatus	HF562934.1	HF562935.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Callulops_personatus	-	KM509104.1	-	-	-	KM509236.1	KM509771.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KM509904.1
Callulops_robustus	EU100133.1	KM509105.1	KC179841.1	-	-	KC180184.1	KM509772.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KC180228.1
Calyptocephallela_gayi	-	-	-	NC_019997.1	NC_019997.1	JQ073150.1	NC_019997.1	NC_019997.1	NC_019997.1	-	NC_019997.1	NC_019997.1	NC_019997.1	NC_019997.1	NC_019997.1	NC_019997.1	NC_019997.1	NC_019997.1	-	-	-	-	-	-	-	JX298244.1
Capensibufo_rosei	AF220864.1	AF220911.1	-	-	-	-	KF665706.1	-	-	KF666111.1	-	-	AF463795.1	-	-	-	-	-	-	-	KF666395.1	-	AF221981.1	-	-	-
Capensibufo_tradouwi	AF220865.1	AF220912.1	-	-	-	-	-	-	-	-	-	-	FN650139.1	-	-	-	-	-	-	-	-	-	-	-	-	-
Cardioglossa_annulata	-	KR349252.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cardioglossa_congolia	-	KR349247.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cardioglossa_elegans	-	EF621776.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cardioglossa_escalerae	-	KR349250.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cardioglossa_gracilis	DQ022310.1	EF621774.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KX492757.1	GU457592.1	-	-	-	-	KX492850.1
Cardioglossa_gratiosa	-	KR349246.1	DQ283565.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	DQ283868.1	DQ282726.1	-	-
Cardioglossa_leucomystax	JX564856.1	JX564856.1	DQ283681.1	JX564856.1	JX564856.1	-	JX564856.1	JX564856.1	JX564856.1	-	JX564856.1	JX564856.1	JX564856.1	JX564856.1	JX564856.1	JX564856.1	JX564856.1	JX564856.1	-	KX492758.1	KX492807.1	-	DQ283982.1	-	-	DQ282978.1
Cardioglossa_manengouba	-	JQ711158.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cardioglossa_melanogaster	-	JQ711166.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cardioglossa_nigromaculata	-	KR349254.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cardioglossa_occidentalis	-	EF621777.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cardioglossa_pulchra	-	EF641000.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KX492808.1	-	-	-	-	-
Cardioglossa_trifasciata	-	KR349245.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Caudiverbera_caudiverbera	AF194534.1	EF107212.1	DQ283748.1	-	-	-	-	-	-	EF107495.1	-	-	-	-	-	-	-	-	EF107275.1	AY819090.1	AY583337.1	DQ872909.1	DQ284036.1	DQ282893.1	EF107440.1	-
Celsiella_revocata	EU663379.1	EU663019.1	-	-	-	KF534278.1	-	-	-	KF534374.1	-	EU663113.1	-	-	-	-	-	-	KF534113.1	EU663204.1	EU663479.1	-	-	-	KF534195.1	-
Celsiella_vozmedianoi	EU663385.1	EU663025.1	-	-	-	-	-	-	-	KF534375.1	-	EU663163.1	-	-	-	-	-	-	KF534114.1	EU663247.1	EU663531.1	-	-	-	-	-
Centrolene_altitudinale	EU663333.1	EU662975.1	-	-	-	KF534280.1	-	-	-	KF534377.1	-	EU663070.1	-	-	-	-	-	-	KF534116.1	EU663165.1	EU663434.1	-	-	-	KF534197.1	-
Centrolene_antioquiense	EU663336.1	EU662977.1	-	-	-	KF534281.1	-	-	-	KF534378.1	-	EU663073.1	-	-	-	-	-	-	KF534117.1	EU663167.1	EU663436.1	-	-	-	KF534198.1	-
Centrolene_audax	KF639753.1	KF534355.1	-	-	-	-	-	-	-	-	-	HG764782.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Centrolene_bacatum	EU663337.1	EU662978.1	-	-	-	-	-	-	-	KF534379.1	-	EU663074.1	-	-	-	-	-	-	KF534118.1	EU663168.1	EU663437.1	-	-	-	KF534199.1	-
Centrolene_ballux	KF639754.1	JX126954.1	-	-	-	-	-	-	-	-	-	HG764783.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Centrolene_buckleyi	EU663338.1	EU662979.1	-	-	-	KF534282.1	-	-	-	KF534380.1	-	EU663075.1	-	-	-	-	-	-	-	EU663169.1	-	-	-	-	KF534200.1	-
Centrolene_charapita	KM068247.1	KM068256.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Centrolene_condor	KF639755.1	JX126955.1	-	-	-	-	-	-	-	-	-	JX187513.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Centrolene_daidaleum	EU663366.1	EU663007.1	-	-	-	KF534283.1	-	-	-	KF534381.1	-	EU663101.1	-	-	-	-	-	-	KF534119.1	EU663192.1	EU663465.1	-	-	-	KF534201.1	-
Centrolene_durrellorum	KF639756.1	KF534356.1	-	-	-	-	-	-	-	-	-	HG764784.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Centrolene_fernandoi	-	KF534357.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Centrolene_geckoideum	EU663341.1	EU662982.1	-	-	-	-	-	-	-	KF534382.1	-	EU663077.1	-	-	-	-	-	-	KF534120.1	-	EU663440.1	-	-	-	KF534202.1	-
Centrolene_heloderma	KF639757.1	JX126956.1	-	-	-	-	-	-	-	-	-	JX187509.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Centrolene_hesperium	EU663345.1	EU662986.1	-	-	-	KF534284.1	-	-	-	KF534383.1	-	EU663081.1	-	-	-	-	-	-	KF534121.1	KF639777.1	EU663444.1	-	-	-	KF534203.1	-
Centrolene_huilense	-	JX126959.1	-	-	-	-	-	-	-	-	-	JX187510.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Centrolene_hybrida	EU663346.1	EU662987.1	-	-	-	KF534285.1	-	-	-	KF534384.1	-	EU663082.1	-	-	-	-	-	-	KF534122.1	EU663175.1	EU663445.1	-	-	-	KF534204.1	-
Centrolene_lynchi	KF639758.1	JX126957.1	-	-	-	-	-	-	-	-	-	JX187508.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Centrolene_muelleri	KF639759.1	KM068267.1	-	-	-	KF534286.1	-	-	-	KF534385.1	-	HG764785.1	-	-	-	-	-	-	KF534123.1	KF639778.1	-	-	-	-	KF534205.1	-
Centrolene_notostictum	EU663351.1	EU662992.1	-	-	-	KF534287.1	-	-	-	KF534386.1	-	EU663087.1	-	-	-	-	-	-	-	EU663180.1	EU663450.1	-	-	-	KF534206.1	-
Centrolene_peristictum	EU663352.1	EU662993.1	-	-	-	KF534288.1	-	-	-	KF534387.1	-	EU663088.1	-	-	-	-	-	-	KF534124.1	EU663181.1	EU663451.1	-	-	-	KF534207.1	-
Centrolene_pipilatum	EU663353.1	EU662994.1	-	-	-	KF534289.1	-	-	-	KF534388.1	-	EU663089.1	-	-	-	-	-	-	KF534125.1	KF639779.1	EU663452.1	-	-	-	KF534208.1	-
Centrolene_sabini	-	JX126961.1	-	-	-	-	-	-	-	-	-	JX187512.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Centrolene_savagei	EU663380.1	EU663020.1	-	-	-	KF534290.1	-	-	-	KF534389.1	-	EU663114.1	-	-	-	-	-	-	KF534126.1	EU663205.1	EU663480.1	-	-	-	KF534209.1	-
Centrolene_venezuelense	EU663360.1	EU663001.1	-	-	-	KF534291.1	-	-	-	KF534390.1	-	EU663095.1	-	-	-	-	-	-	KF534127.1	EU663186.1	EU663459.1	-	-	-	KF534210.1	-
Ceratophrys_aurita	KP295606.1	KP295606.1	-	-	-	-	KP295687.1	-	-	KP295517.1	KP295728.1	KP295540.1	-	-	-	-	-	-	-	KP295565.1	KP295586.1	-	KP295706.1	-	-	KP295666.1
Ceratophrys_calcarata	KP295607.1	KP295607.1	-	-	-	-	-	-	-	-	KP295730.1	KP295541.1	-	-	-	-	-	-	-	-	KP295588.1	-	KP295707.1	-	-	KP295667.1
Ceratophrys_cornuta	AY326014.1	HQ290947.1	-	-	-	HQ290587.1	KP295688.1	-	-	DQ306491.1	HQ290527.1	HQ290947.1	HQ290947.1	-	-	-	-	-	HQ290707.1	KP295567.1	DQ679269.1	-	KP295708.1	-	-	KP295668.1
Ceratophrys_cranwelli	KP295615.1	KP295615.1	AY844207.1	-	-	-	KP295690.1	-	-	KP295520.1	KP295732.1	KP295547.1	-	-	-	-	-	-	-	KP295568.1	KP295592.1	-	KP295711.1	-	-	KP295671.1
Ceratophrys_joazeirensis	KP295618.1	KP295618.1	-	-	-	-	KP295692.1	-	-	KP295521.1	KP295734.1	-	-	-	-	-	-	-	-	KP295570.1	KP295594.1	-	KP295713.1	-	-	KP295674.1
Ceratophrys_ornata	U52739.1	JX564858.1	-	JX564858.1	JX564858.1	-	JX564858.1	JX564858.1	JX564858.1	AY364188.1	JX564858.1	AY523774.1	JX564858.1	JX564858.1	JX564858.1	JX564858.1	JX564858.1	JX564858.1	AY523718.1	KP295571.1	AY364218.1	-	AY364399.1	-	AY948886.1	KP295675.1
Ceratophrys_stolzmanni	KP295620.1	KP295620.1	-	-	-	-	KP295694.1	-	-	KP295523.1	KP295736.1	KP295550.1	-	-	-	-	-	-	-	KP295572.1	KP295596.1	-	KP295715.1	-	-	KP295676.1
Ceuthomantis_smaragdinus	GQ345133.1	GQ345133.1	GQ345142.1	-	-	-	-	-	-	GQ345192.1	GQ345208.1	GQ345251.1	-	-	-	-	-	-	GQ345239.1	GQ345269.1	EU186750.1	-	GQ345306.1	GQ345319.1	GQ345336.1	EU186771.1
Chacophrys_pierottii	KP295624.1	KP295624.1	-	-	-	-	KP295695.1	-	-	KP295524.1	KP295738.1	KP295552.1	-	-	-	-	-	-	-	KP295573.1	KP295597.1	-	KP295717.1	-	-	KP295678.1
Chaperina_fusca	AB598318.1	DQ283145.1	KC179843.1	-	-	AB611868.1	AB611869.1	-	-	AB611870.1	-	-	-	-	-	-	-	-	AB611871.1	-	AB611865.1	AB611866.1	-	DQ282701.1	-	AB611867.1
Charadrahyla_nephila	DQ388691.1	AY843649.1	AY844272.1	-	-	-	-	-	-	-	AY843889.1	DQ388756.1	-	-	-	-	-	-	-	DQ388712.1	AY844438.1	-	AY844635.1	AY844853.1	-	AY844094.1
Charadrahyla_taeniopus	AY843679.1	AY843679.1	AY844296.1	-	-	-	-	-	-	-	AY843924.1	-	-	-	-	-	-	-	-	DQ055803.1	AY844463.1	-	AY844671.1	AY844883.1	-	AY844120.1
Chiasmocleis_alagoanus	-	KC180030.1	KC179845.1	-	-	KC180160.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KC180236.1
Chiasmocleis_albopunctata	-	KM509106.1	KC179850.1	-	-	KC180191.1	KM509774.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KC180239.1
Chiasmocleis_anatipes	-	KF621147.1	-	-	-	-	KF621208.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KF621263.1
Chiasmocleis_avilapiresae	-	KM509107.1	-	-	-	KM509240.1	KF621218.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KF621269.1
Chiasmocleis_capixaba	KM111745.1	KM509109.1	KC179852.1	-	-	KC180193.1	KM509775.1	-	-	-	-	-	KM111994.1	-	-	-	-	-	-	-	-	-	-	-	-	KC180235.1
Chiasmocleis_carvalhoi	JN604510.1	KM509110.1	KC179853.1	-	-	KC180202.1	KF621225.1	-	-	-	-	-	JQ410715.1	-	-	-	-	-	-	-	-	-	-	-	-	KC180242.1
Chiasmocleis_cordeiroi	KM111764.1	KM111857.1	-	-	-	KM111944.1	-	-	-	-	-	-	KM112000.1	-	-	-	-	-	-	-	-	-	-	-	-	-
Chiasmocleis_crucis	KM111768.1	KM111861.1	-	-	-	KM111948.1	-	-	-	-	-	-	KM112004.1	-	-	-	-	-	-	-	-	-	-	-	-	-
Chiasmocleis_haddadi	-	KF621173.1	-	-	-	-	KF621227.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KF621285.1
Chiasmocleis_lacrimae	KM111757.1	KM509112.1	-	-	-	KM509245.1	KM509777.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KM509908.1
Chiasmocleis_leucosticta	KM111771.1	KC180039.1	KC179855.1	-	-	KC180167.1	-	-	-	-	-	-	JQ410663.1	-	-	-	-	-	-	-	-	-	-	-	-	KC180243.1
Chiasmocleis_mantiqueira	KM111777.1	KM111869.1	-	-	-	KM111955.1	-	-	-	-	-	-	JQ410662.1	-	-	-	-	-	-	-	-	-	-	-	-	-
Chiasmocleis_panamensis	-	KC179980.1	KC179857.1	-	-	KC180141.1	KF671188.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KC180232.1
Chiasmocleis_papachibe	-	KF621184.1	-	-	-	-	KF621237.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KF621291.1
Chiasmocleis_quilombola	KM111797.1	KM111888.1	-	-	-	KM111973.1	-	-	-	-	-	-	KM112010.1	-	-	-	-	-	-	-	-	-	-	-	-	-
Chiasmocleis_royi	-	KF621186.1	-	-	-	-	KF621238.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KF621292.1
Chiasmocleis_schubarti	KM111807.1	KC180071.1	KC179858.1	-	-	KC180192.1	-	-	-	-	-	-	JQ410661.1	-	-	-	-	-	-	-	-	-	-	-	-	KC180247.1
Chiasmocleis_shudikarensis	-	KM509113.1	KC179860.1	-	-	EF396002.1	KM509778.1	-	-	-	-	-	-	-	-	-	-	-	-	-	EF396080.1	EF396117.1	-	-	-	EF395966.1
Chiasmocleis_ventrimaculata	JF836938.1	KC180041.1	KC179861.1	-	-	KC180172.1	KF621247.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	JF837040.1	-	-	KC180304.1
Chimerella_corleone	-	KM068276.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Chimerella_mariaelenae	EU663350.1	EU662991.1	-	-	-	KF534292.1	-	-	-	KF534391.1	-	EU663086.1	-	-	-	-	-	-	KF534128.1	EU663179.1	EU663449.1	-	-	-	KF534211.1	-
Chiromantis_doriae	AB813159.1	AB813159.1	DQ283528.1	-	-	GQ285716.1	KR087633.1	-	-	-	GQ204538.1	-	-	-	-	-	-	-	-	GQ285747.1	GQ285779.1	-	EU215554.1	DQ282691.1	-	EU215584.1
Chiromantis_hansenae	AB813161.1	AB813161.1	-	-	-	-	KR087647.1	-	-	-	-	-	-	-	-	-	-	-	-	KJ546806.1	-	-	-	-	-	-
Chiromantis_inexpectatus	AB813160.1	AB813160.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Chiromantis_nongkhorensis	AB813158.1	AB813158.1	-	-	-	GQ204475.1	KR087635.1	-	-	-	GQ204540.1	-	-	-	-	-	-	-	-	-	GQ204604.1	-	GQ204659.1	-	-	-
Chiromantis_petersii	GQ204784.1	GQ204733.1	-	-	-	-	-	-	-	-	GQ204550.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Chiromantis_rufescens	AY880539.1	AY341681.1	-	-	-	KF991304.1	-	-	-	-	AY341729.1	-	-	-	-	-	-	-	-	-	GQ204605.1	-	DQ347356.1	KF991365.1	-	DQ347139.1
Chiromantis_vittatus	NC_032360.1	NC_032360.1	DQ283527.1	NC_032360.1	NC_032360.1	GQ285711.1	NC_032360.1	NC_032360.1	NC_032360.1	-	NC_032360.1	NC_032360.1	NC_032360.1	NC_032360.1	NC_032360.1	NC_032360.1	NC_032360.1	NC_032360.1	-	GQ285742.1	GQ204603.1	-	AY880626.1	DQ282690.1	-	KU840748.1
Chiromantis_xerampelina	U22082.1	AB813157.1	-	-	-	-	-	-	-	-	GQ204551.1	-	-	-	-	-	-	-	-	-	-	-	DQ284012.1	-	-	-
Choerophryne_gracilirostris	-	KF561136.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Choerophryne_proboscidea	JX119385.1	KM509114.1	-	-	-	KM509247.1	KM509779.1	-	-	-	JX120091.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KM509910.1
Choerophryne_rostellifer	EU100138.1	EU100254.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Churamiti_maridadi	KF664661.1	KF665195.1	-	-	-	-	KF665768.1	-	-	FJ882715.1	-	-	-	-	-	-	-	-	FJ882660.1	-	KF666268.1	-	-	-	-	-
Clinotarsus_alticola	AB200937.1	KR869787.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	EU076751.1	-	-	-	-	EU076789.1
Clinotarsus_curtipes	GU136095.1	GU136111.1	-	-	-	-	KP981225.1	-	-	-	AF249079.1	-	-	-	-	-	-	-	-	-	EU076753.1	-	AF249117.1	-	-	EU076794.1
Cochranella_adenocheira	KF639774.1	KF534372.1	-	-	-	KF534346.1	-	-	-	KF534449.1	-	HG764795.1	-	-	-	-	-	-	KF534185.1	KF639785.1	KF639788.1	-	-	-	KF534269.1	-
Cochranella_erminea	KF639762.1	KM068258.1	-	-	-	KF534293.1	-	-	-	KF534392.1	-	HG764786.1	-	-	-	-	-	-	KF534129.1	KF639780.1	-	-	-	-	KF534212.1	-
Cochranella_euknemos	EU663367.1	EU663008.1	-	-	-	-	KR862886.1	-	-	KF534393.1	-	EU663102.1	-	-	-	-	-	-	-	EU663193.1	EU663466.1	-	-	-	KF534213.1	-
Cochranella_granulosa	EU663370.1	EU663010.1	-	-	-	KF534294.1	FJ766604.1	-	-	EF107460.1	-	EU663104.1	-	-	-	-	-	-	EF107235.1	EU663195.1	EF107297.1	-	-	-	EF107385.1	-
Cochranella_guayasamini	KM068250.1	KM068259.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cochranella_litoralis	EU663349.1	EU662990.1	-	-	-	KF534295.1	-	-	-	KF534395.1	-	EU663085.1	-	-	-	-	-	-	KF534131.1	EU663178.1	EU663448.1	-	-	-	KF534215.1	-
Cochranella_mache	EU663373.1	EU663013.1	-	-	-	KF534296.1	-	-	-	KF534396.1	-	EU663107.1	-	-	-	-	-	-	KF534132.1	EU663198.1	EU663472.1	-	-	-	KF534216.1	-
Cochranella_nola	EU663375.1	EU663016.1	-	-	-	KF534297.1	-	-	-	KF534397.1	-	EU663110.1	-	-	-	-	-	-	KF534133.1	EU663201.1	EU663475.1	-	-	-	KF534217.1	-
Cochranella_resplendens	KF639763.1	KF534361.1	-	-	-	-	-	-	-	-	-	HG764787.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Colostethus_argyrogaster	EU342606.1	EU342605.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Colostethus_fraterdanieli	EU342602.1	EU342604.1	DQ503017.1	-	-	-	DQ502882.1	-	-	-	DQ502615.1	-	-	-	-	-	-	-	-	-	DQ503375.1	-	DQ503259.1	-	-	-
Colostethus_fugax	AY364547.1	HQ290958.1	-	-	-	HQ290598.1	-	-	-	-	HQ290538.1	HQ290958.1	HQ290958.1	-	-	-	-	-	HQ290718.1	HQ290838.1	-	-	-	-	-	HQ290898.1
Colostethus_imbricolus	-	-	DQ503016.1	-	-	-	DQ502881.1	-	-	-	DQ502614.1	-	-	-	-	-	-	-	-	-	DQ503374.1	-	-	DQ503122.1	-	-
Colostethus_inguinalis	EU342597.1	EU342597.1	-	-	-	-	DQ502927.1	-	-	-	DQ502696.1	-	-	-	-	-	-	-	-	-	DQ503398.1	-	-	-	-	-
Colostethus_jacobuspetersi	KJ940459.1	KJ940459.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Colostethus_latinasus	EU342592.1	EU342592.1	-	-	-	-	KF806999.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Colostethus_panamansis	HQ290968.1	HQ290968.1	DQ503010.1	-	-	HQ290606.1	KC129210.1	-	-	-	HQ290546.1	HQ290968.1	HQ290968.1	-	-	-	-	-	HQ290726.1	HQ290846.1	DQ503368.1	-	-	DQ503120.1	-	HQ290906.1
Colostethus_pratti	HQ290969.1	HQ290969.1	DQ503011.1	-	-	HQ290607.1	KR862889.1	-	-	-	HQ290547.1	HQ290969.1	HQ290969.1	-	-	-	-	-	HQ290727.1	HQ290847.1	DQ503369.1	-	DQ503254.1	DQ503121.1	-	HQ290907.1
Conraua_alleni	KF693285.1	KF693388.1	-	-	-	KF693487.1	-	-	-	-	KF693669.1	-	-	-	-	-	-	-	-	-	KF693607.1	-	-	KF693549.1	-	-
Conraua_crassipes	DQ019580.1	DQ347305.1	-	-	-	-	-	-	-	EF017991.1	-	-	-	-	-	-	-	-	EF018016.1	-	DQ019498.1	DQ019524.1	DQ347364.1	-	EF107375.1	DQ347148.1
Conraua_goliath	KF693280.1	AF215388.1	DQ283525.1	-	-	KF693482.1	-	-	-	-	KF693664.1	-	-	-	-	-	-	-	-	-	KF693604.1	-	DQ283833.1	DQ282688.1	-	-
Conraua_robusta	KF693282.1	KF693385.1	DQ283671.1	-	-	KF693484.1	-	-	-	-	KF693666.1	-	-	-	-	-	-	-	-	-	KF693605.1	-	DQ283973.1	DQ282823.1	-	DQ282972.1
Cophixalus_balbus	EU100146.1	KM509115.1	-	-	-	KM509248.1	KM509780.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KM509911.1
Cophixalus_cheesmanae	KC822486.1	KC822486.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cophixalus_crepitans	-	KM509116.1	-	-	-	KM509249.1	KM509781.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KM509912.1
Cophixalus_cryptotympanum	-	KM509170.1	-	-	-	AB611876.1	AB611877.1	-	-	AB611878.1	-	-	-	-	-	-	-	-	AB611879.1	-	AB611873.1	AB611874.1	-	-	-	AB611875.1
Cophixalus_hosmeri	-	KM509117.1	-	-	-	KM509250.1	KM509782.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KM509913.1
Cophixalus_humicola	EU100147.1	EU100264.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cophixalus_infacetus	-	JF743691.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cophixalus_kulakula	-	JN208371.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cophixalus_ornatus	-	JF743751.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cophixalus_pakayakulangun	-	JN208372.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cophixalus_sphagnicola	-	-	DQ283582.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	DQ282749.1	-	-
Cophixalus_tridactylus	EU100151.1	EU100267.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Cophyla_berara	-	KM509118.1	-	-	-	KM509251.1	KM509783.1	-	-	-	EU341047.1	-	-	-	-	-	-	-	-	-	KP764298.1	-	-	-	-	KM509914.1
Cophyla_maharipeo	KP764325.1	KP764220.1	-	-	-	-	KP764247.1	-	-	-	KP764261.1	-	-	-	-	-	-	-	-	-	KP764291.1	-	-	-	-	-
